epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,2154.63,0.77196,0.63062,1.03814,0.962,0.85819,0.94144,0.7758,0.79773,0.84227,0.783,0.0015644,0.0015644,0.0015644
112,2173.82,0.77714,0.681,1.05989,0.9511,0.84746,0.94386,0.75068,0.77508,0.94328,0.8205,0.00156044,0.00156044,0.00156044
113,2192.81,0.81073,0.64726,1.03352,0.8508,0.86991,0.93722,0.76495,0.78154,0.98444,0.79491,0.00155648,0.00155648,0.00155648
114,2211.61,0.76579,0.67507,1.07605,0.92645,0.94915,0.95778,0.78752,0.74289,0.81371,0.76395,0.00155252,0.00155252,0.00155252
115,2230.6,0.73565,0.60535,1.01961,0.96239,0.86441,0.93883,0.78913,0.73405,0.8738,0.76053,0.00154856,0.00154856,0.00154856
116,2250.5,0.68369,0.60129,0.97325,0.96224,0.86381,0.93342,0.78156,0.72191,1.08129,0.76116,0.0015446,0.0015446,0.0015446
117,2269.33,0.729,0.62482,1.0201,0.96318,0.88688,0.93247,0.78471,0.7501,0.96549,0.7758,0.00154064,0.00154064,0.00154064
118,2288.54,0.63914,0.51609,0.95346,0.96347,0.89411,0.93791,0.79697,0.72278,0.76386,0.77305,0.00153668,0.00153668,0.00153668
119,2307.57,0.76126,0.77408,1.05808,0.98171,0.90977,0.97692,0.82035,0.70294,0.63336,0.76651,0.00153272,0.00153272,0.00153272
120,2327.64,0.63668,0.51082,0.94635,0.94349,0.94915,0.9767,0.82765,0.6936,0.63853,0.77926,0.00152876,0.00152876,0.00152876
121,2347.71,0.70437,0.55955,1.00017,0.9319,0.92778,0.96981,0.81349,0.70218,0.66416,0.78266,0.0015248,0.0015248,0.0015248
122,2366.3,0.63525,0.52342,0.98448,0.92748,0.9322,0.9722,0.80687,0.7319,0.69309,0.77426,0.00152084,0.00152084,0.00152084
123,2385.43,0.79174,0.59323,1.15825,0.91709,0.9661,0.97535,0.82018,0.72065,0.67782,0.7713,0.00151688,0.00151688,0.00151688
124,2404.37,0.64764,0.57557,0.97822,0.9945,0.88136,0.9726,0.80911,0.70221,0.82508,0.78029,0.00151292,0.00151292,0.00151292
125,2423.16,0.67367,0.60837,0.99717,0.89064,0.88136,0.92548,0.77034,0.75474,1.36461,0.80445,0.00150896,0.00150896,0.00150896
126,2441.97,0.68845,0.538,0.96628,0.93556,0.86441,0.93514,0.77628,0.73404,0.93642,0.79177,0.001505,0.001505,0.001505
127,2709.9,0.6425,0.5549,0.97989,0.97739,0.89831,0.97446,0.8273,0.65985,0.62421,0.77423,0.00150104,0.00150104,0.00150104
128,2728.98,0.69092,0.53625,0.97821,0.95359,0.9322,0.97224,0.84702,0.59369,0.5563,0.76916,0.00149708,0.00149708,0.00149708
