epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,19458.4,0.19441,0.21898,0.20599,0.74408,0.99458,0.99773,0.99446,0.99233,0.99458,0.99773,0.99446,0.92147,0.12668,0.155,0.1013,0.57099,0.000702782,0.000702782,0.000702782
79,19697.9,0.19058,0.21403,0.17155,0.73508,0.99387,0.99728,0.99387,0.99113,0.99387,0.99728,0.99387,0.91898,0.12482,0.15125,0.0978,0.57112,0.000693351,0.000693351,0.000693351
80,19938.3,0.18616,0.21058,0.21674,0.73649,0.99341,0.99884,0.9938,0.9906,0.99341,0.99884,0.9938,0.93077,0.12998,0.15565,0.09865,0.57174,0.000683919,0.000683919,0.000683919
81,20184.9,0.18779,0.21946,0.17026,0.74757,0.99151,0.99819,0.9914,0.98823,0.99151,0.99819,0.9914,0.91088,0.13433,0.1624,0.10891,0.57281,0.000674488,0.000674488,0.000674488
82,20430.6,0.18607,0.20941,0.16363,0.73248,0.99416,0.99878,0.99334,0.99075,0.99416,0.99878,0.99334,0.93495,0.12267,0.14885,0.09496,0.57077,0.000665057,0.000665057,0.000665057
83,20681.9,0.18713,0.20568,0.16646,0.73338,0.99459,0.99823,0.99365,0.99005,0.99459,0.99823,0.99365,0.92898,0.12772,0.16237,0.09623,0.57086,0.000655625,0.000655625,0.000655625
84,20934.6,0.19983,0.23771,0.16181,0.73345,0.99055,0.99875,0.99351,0.99012,0.99055,0.99875,0.99351,0.92388,0.11994,0.15939,0.09416,0.57101,0.000646194,0.000646194,0.000646194
85,21197.7,0.19391,0.21299,0.15867,0.73223,0.99481,0.9988,0.99291,0.98884,0.99481,0.9988,0.99291,0.92752,0.12053,0.14875,0.09663,0.57047,0.000636762,0.000636762,0.000636762
86,21454.2,0.18511,0.20251,0.15611,0.73559,0.99493,0.99884,0.9939,0.99229,0.99493,0.99884,0.9939,0.92979,0.12035,0.14653,0.09228,0.57053,0.000627331,0.000627331,0.000627331
87,21716.1,0.18502,0.20883,0.15752,0.73824,0.99479,0.99875,0.99353,0.9918,0.99479,0.99875,0.99353,0.93107,0.12644,0.14278,0.09541,0.57137,0.0006179,0.0006179,0.0006179
88,21977.2,0.17506,0.21636,0.1494,0.73118,0.99231,0.99875,0.99393,0.9907,0.99231,0.99875,0.99393,0.92532,0.13982,0.1724,0.10102,0.57289,0.000608468,0.000608468,0.000608468
89,22221.6,0.18637,0.21729,0.15736,0.72648,0.99454,0.99667,0.99233,0.99027,0.99454,0.99667,0.99233,0.92956,0.11262,0.15847,0.08692,0.56993,0.000599037,0.000599037,0.000599037
90,22457.9,0.18678,0.20704,0.18802,0.74904,0.99463,0.99875,0.99432,0.99226,0.99463,0.99875,0.99432,0.92803,0.12363,0.15015,0.09812,0.57118,0.000589605,0.000589605,0.000589605
91,22702.5,0.18957,0.20623,0.15966,0.75207,0.99475,0.99848,0.99312,0.99072,0.99475,0.99848,0.99312,0.93236,0.11885,0.15476,0.09374,0.57013,0.000580174,0.000580174,0.000580174
92,22950.9,0.18187,0.18728,0.16664,0.73068,0.99488,0.99818,0.99283,0.99092,0.99488,0.99818,0.99283,0.923,0.12122,0.14548,0.09083,0.57052,0.000570743,0.000570743,0.000570743
93,23195.5,0.18078,0.21053,0.16121,0.73842,0.99481,0.9988,0.99249,0.99064,0.99481,0.9988,0.99249,0.92882,0.11713,0.15491,0.08634,0.57011,0.000561311,0.000561311,0.000561311
94,23444,0.19164,0.22348,0.1648,0.74921,0.99459,0.99857,0.99343,0.9893,0.99459,0.99857,0.99343,0.92572,0.13425,0.16617,0.09188,0.57237,0.00055188,0.00055188,0.00055188
95,23695.9,0.18569,0.21668,0.16521,0.74848,0.99458,0.99757,0.99304,0.98967,0.99458,0.99757,0.99304,0.91422,0.12761,0.15712,0.09345,0.57211,0.000542448,0.000542448,0.000542448
96,23946.3,0.1754,0.20184,0.16142,0.73794,0.99503,0.99822,0.9911,0.98789,0.99503,0.99822,0.9911,0.9264,0.12818,0.15098,0.0973,0.57148,0.000533017,0.000533017,0.000533017
97,24202.6,0.1909,0.20583,0.16581,0.74674,0.99284,0.99767,0.9927,0.99051,0.99284,0.99767,0.9927,0.9258,0.11508,0.15434,0.09128,0.57003,0.000523586,0.000523586,0.000523586
98,24481.6,0.18393,0.2148,0.15027,0.74462,0.99491,0.99881,0.99334,0.99207,0.99491,0.99881,0.99334,0.92951,0.11173,0.15248,0.08546,0.57038,0.000514154,0.000514154,0.000514154
99,24721.8,0.17449,0.2051,0.15022,0.73948,0.99443,0.99862,0.99383,0.99211,0.99443,0.99862,0.99383,0.93204,0.11697,0.14485,0.08821,0.57002,0.000504723,0.000504723,0.000504723
100,24969.3,0.19033,0.22555,0.1814,0.73456,0.99467,0.99857,0.99363,0.99083,0.99467,0.99857,0.99363,0.93609,0.12461,0.14987,0.08701,0.57121,0.000495291,0.000495291,0.000495291
101,25215.9,0.17596,0.19201,0.15328,0.74202,0.99466,0.99875,0.99396,0.99202,0.99466,0.99875,0.99396,0.93065,0.11793,0.14212,0.08547,0.57046,0.00048586,0.00048586,0.00048586
